"filename", "language", "JavaScript", "vue", "Markdown", "HTML", "JSON", "JSON with Comments", "Properties", "Environment Variables", "comment", "blank", "total"
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\project.vue", "vue", 0, 488, 0, 0, 0, 0, 0, 0, 7, 60, 555
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\projects.vue", "vue", 0, 192, 0, 0, 0, 0, 0, 0, 2, 34, 228
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\projectsCards.vue", "vue", 0, 171, 0, 0, 0, 0, 0, 0, 3, 26, 200
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\register.vue", "vue", 0, 147, 0, 0, 0, 0, 0, 0, 0, 20, 167
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\sideBar.vue", "vue", 0, 119, 0, 0, 0, 0, 0, 0, 1, 15, 135
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\skill.vue", "vue", 0, 138, 0, 0, 0, 0, 0, 0, 2, 30, 170
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\test.vue", "vue", 0, 58, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\updateProject.vue", "vue", 0, 270, 0, 0, 0, 0, 0, 0, 0, 40, 310
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\components\users.vue", "vue", 0, 135, 0, 0, 0, 0, 0, 0, 1, 15, 151
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\main.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 9, 30
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\router\routes.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\mohammad\Desktop\parsLancer\frontend\src\utils\sessionUtils.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"c:\Users\mohammad\Desktop\parsLancer\frontend\vue.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 2343, 3914, 21, 16, 28167, 19, 2, 9, 91, 908, 35490
